Description,Is_Response
"I was in town for business and had chosen the Hyatt because all of the good hotels in Center City were full. I prepaid for my hotel room a week and a half in advance to hold it for late arrival, but when I arrived, I was sent to a hospitality suite with only a sofa bed. The brand-new alarm clock on the bar- with the """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""--:--"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" sticker still on it- was also a particuarly classy touch. Not only had the front desk employee not told me that I was being sent to such a room, but she ignored me when I called down to complain. Twenty minutes later, the night concierge told me that this happens often, since the Hyatt apparently overbooks its guest rooms fairly frequently, and that my (furious) reaction to my """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""guest room"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" was typical. I would have expected such policies and customer service of a Motel -, not a Hyatt Regency.",not happy
excellent experience from check in to check out. superb hotel and especially all the staff,happy
"We booked our stay at The Hotel Sax Chicago with Hotels.com, we got a very good deal and last minute too.
On arrival we were very impressed with the lobby area, all be it small, it was bright and airy with crystal and glass in cabinets all around. The doormen were very attentive too. 
It was when you entered the lifts that the bright and airy feel dissapeared. The lift was very nice and oppulent but dark, once up to the --th floor, we were met with a very dark, slightly creepy in a nice way corridor. This hotel must have just been renovated because everything was immaculate.
Our room was a surprise, it was quite big and even though the decor was a little busy, we did like it, the bathroom was large, with good qaulity fixtures. The bath towels and robes were light and fluffy and the tioletries were replaced everyday. The soaps they use a lovely too, and WOW what a great shower. 
The room itself had a very large flat screen TV mounted on the wall, we also had a floor to ceiling mirror on one wall and floor to ceiling windows. The bed was super-king size and the bed was very comfortable. As we are super fussy on bed quality we did make sure the beds were pillow-top and it was like a big marshmellow.
All the fixtures and fittings, looked to be brand new. Be warned though as some of the mini bar items, water, ect, snacks are placed on the tray with your glasses and cocktail shakers and they are not free. 
We did have room service once and it was good and reasonably priced. We ate at Bin-- for breakfast a few times and found it very nice indeed.
There is a new Bar called The Crimson Lounge, gosh this place looked like a Vampire's Lure, very gothic, red and so dark, you could hardly see the person sat next to you on some tables. It was very busy on the weekend we where there, with lots of young girls aged around -- - --, dressed to impress, not our cup of tea really.
We did like Chicago, not so much as NY but we managed to see lots of sights. 
Harry Carays is a nice Bar ect. We also at at SMith and Wollensky but to be honest the over bearing waiter really put ut off. 
ALl in all the Sax is very well placed in the Marina, right next to the House Of Blues, were you can watch blues and eat good food, we managed to go on Sunday for the Brunch and gospel Choir, was fantastic and en experience. 
Our only gripe was our view out of the windows, of the Corn Cob Towers, the car park hosts the first -- floors, so being on floor --, we had a view of the spiral car park and also the noise. 
However all in all it was a great hotel and well worth the money.",happy
"I am becoming a loyal Marriott customer, due to the really clean rooms, thoughtful furnishings, and comfortable beds and linens that one typically finds as a standard, but this time, I was bit annoyed that we didn't have the hotel at its full capacity. Parts of the hotel and the grounds are undergoing renovations, which we didn't find out until the day we arrived, so fair warning for anyone reading this review. On the other hand, the location near the convention center and other restaurants and shops is ideal for those who like to walk and explore during their trips. (Tip: Listen to the SD natives who kind of look askance when the idea of visiting Old Town is the topic. We didn't take their advice and ended up being seriously underwhelmed by Old Town and its surroundings. Instead, visit Coronado Island if you have a free afternoon during your conference. Those few hours along the beach and walking through the town on a sunny afternoon were the most memorable and pleasant of all during our SD stay.) I would recommend this hotel to friends only after it finishes renovations.",happy
"We have been to San Francisco many times but never have we had the level of service that we received at this hotel. from the bell desk to the Concierge we were treated exceptionally well. Very, very impressed!!",happy
"I was running in the half-marathon, and was looking for a hotel that was in close proximity to the race start and the expo. After learning that this was a top rated hotel in Philly, I decided to give it a try. Everything was perfect, and the staff couldn't have been more friendly or helpful! The room was very clean, modern, a good size, and ours had a nice view of the city. The hotel is in the Rittenhouse Square area, which has excellent restaurants and shopping. And they offered several perks for our stay - a later checkout time, a place to store our luggage after checkout (so my wife and I could spend more time in the city), and restaurant recommendations. They even left us two bottles of water and popcorn in our car, when it was picked up from valet parking! The wine reception they hold every night in the lobby is also a nice treat, and a great way to be welcomed to this unique hotel.",happy
Wonderful pool large clean rooms well decorated offers a bridge into the terminal. Food is a little expensive but that is to be expected. Excellent salmon salad.,happy
"No complaints at all. They were amazing with making arrangements for our group in advance, and when we got there, the good service didn't stop. Although, the bar closes about - hours too early.",happy
"I stayed for over a week at the Affinia Shelbourn. It was terrible, rundown and the service was the worst. The concierge tried to rip me off on a ride to the airport and when I questioned her overpriced quote, she told me that if I didn't like it, go ask the doorman for advice on car services.
One elevator was out of service, yet they didn't tell me that when I made the reservations. I had this problem once before during holiday time with a NY hotel, so had I have known, I would have made other accommodations.
One night, there were dirty towels or something left in the sink by the housekeeper that day, who obviously was in so much of a rush, she left the items in the sink. Disgusting.
When I made reservations and then when I checked in, I asked for a room with a view. My view was the back alley next door. Bait and switch.
The hotel room and whole hotel is shabby. I tried to move out to another hotel the day I checked in, but being Thanksgiving week, it was hard to find other accommodations since the city is full. I got a survey from Affinia a week later, when I told them of the rude staff, rude concierge and lack of services they said they would make it up to me. They lied, They gave me nothing and ignored the problem. I will avoid all Affinia Hotel's in the future. They don't care about the guests at all.",not happy
"Just loved the Hilton Garden Inn in Tribeca-Soho area just off Ave of Americas and Canal St. Little Italy, the Financial District, Greenwich Village, and Chinatown are all in close proximity. The property also sports a restaurant with an excellent selection of tap brews and offers valet parking for $-- a night. May seem like a lot but that is pretty much the going rate for --hr hotel parking in NYC. The room was clean, the service was top notch, and helpful maps are offered free of charge. The room was very quiet and we slept soundly. They even allowed us a -:-- check out free of charge. Breakfast is also included in the rate and they offer coffee, cereal, bagels, fruit, juice and eggs any way you like (including egg whites) with all the stuffings.",happy
I have stayed at Hotel Deca twice and I can't wait until I get to go back. The restaurant is fantastic too!,happy
"This hotel is disgusting. It was booked via my business, but otherwise I would have checked out on the first night. From the beginning the tone was set by the rude guy at valet. The restaurants were dingy and the rooms felt like old NYC style apartments. Ripped wall paper, terrible springy mattresses, gross bathroom, very loud AC unit. I asked to be switched to a different room because I didn't even feel safe in the one that I was in. The second room was larger, but not any better. I would never stay here again, not even if the room was free. It's spooky and feels like there are ghosts here. I can't wait to go home!",not happy
"This is a very old hotel. If you consider its central location, nice lobby and friendly stuff, you get the idea that this property was comfortable and stylish at the time. But now it badly needs the renovation. I don’t mind the tiny size of the room, I even liked the design, but the wallpaper were dirty and torn in several places, the bathroom was so outdated that I even had to ask for a housekeeper to show me how to use a plug, which was no way automatic! Whenever you look, you see very outdated details.
Another bad thing about the hotel is the fact that you can hear almost everything that is going on next door! And I mean EVERYTHING! You hear when people get up, go to the bathroom, whisper!! One night I was even fricked out because I thought someone was trying to come in to my room, although in reality my neighbour attempted to come in next door.
I didn’t try breakfast which was not included in the room price, but there’s a Starbucks just in the same building – no problem with that.
All and all, I wouldn’t recommend the hotel, although it is a pity, because the stuff is really trying their best and the location is very convenient.",not happy
"This is a great small hotel in the city. It is in a slightly quieter part about - minutes from -th Avenue, which is quite a relief after a full day in the city. The rooms are spacious for a small hotel with high ceilings. I would recommend avoiding rooms at the back of the hotel where we were as there is a pretty noisy air conditioning unit. The staff are very friendly and we can strongly recommend the restaurant. The steak is exceptional and the service equally good. We would definitely stay again.",happy
"my husband and i stayed here a few years ago, so i can't vouche for now, but it was a great hotel. it was sleek and stylish. the room was very small, but we expected that and the AC was noisy....
other than that it was GREAT",happy
"This hotel was without doubt the worst hotel I have ever had the misfortune to stay in. Not quite sure where to start here ... but I will try. 
-) on arrival the """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""receptionist"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" was to say the least rude, 
-) the room had no on suite bathroom, 
-) there were no working locks on the shower or toilet rooms 
-) we were told we had to pay cash the night before we checked out (funnily enough were were only there for one night).",not happy
"My wife and I recently stayed at the Henderson's Wharf Inn and we definitely enjoyed our stay. The room was spacious, the beds were very comfortable, but the room could have had more light. We kept our shades closed because our room was on the ground level (as are all the rooms) and we did not want walker-runners along the pier peering into our room. But, our view from the room of the harbor was lovely.
Service: There could be more front desk staff. During our stay, it seemed like the young lady working the front desk was extremely busy and she was the only person at the front desk working until the next morning. Inspite of this, she provided great service. The bottle of wine upon check-in is a nice touch.
Food: the continental breakfast was fantastic and was one of my favorite aspects of the hotel. The continental breakfast offered nice variety and the fool was delicious. The woman who tended to the breakfast was friendly and efficient; she provided great service.
Value: Truly, the only issue I had with the hotel was the price. It's an expensive hotel for what one receives. My wife and I have been fortunate to travel and stay in some great hotels worldwide and it seems in our travels; we have experienced more for what we paid for at other hotels than what we paid for at the Henderson's Wharf Inn. The Henderson's Wharf Inn is a nice hotel and I will recommend it, but it could add something more.",happy
"We were not staying at the Swisshotel but used their valet parking while we had lunch at the Palm. When we got the car back it was obvious someone had driven the car further than just to the garage and back. First we told them we were just having a quick lunch but they took the car away and we had to wait forever to get it back. Then we noticed that the car had played through - CDs we had loaded in the CD player, which doesn't happen when the car is parked and off. And our car is two years old, it isn't even a new hot car. We didn't bother to complain because i am sure we would just encounter denials and attitude. All I can say is don't trust them, and make sure you make a note of the odometer reading if you must use their valet.",not happy
"The room was upscale, the facilities upscale, but the hotel was populatednot so much by guests, but rather by roving patrons of the lobby and upstairs bars. The scene is very hot in the bars, but the hotel needs to keep non-guests off the other floors.
During the day the place is calm, but after work and at night it is a party place for the singles scene.",not happy
"Stayed two nights with DH at this excellent hotel. Platinum upgrade to a gorgeous suite - even the bathroom had a hallway! Comfortable bedding, swank sitting area, spotless bathroom with Bliss products. Common rooms were gorgeous - loved hanging out in the lobby to play checkers, or a drink I guess. We were there during a very quiet time when the rooftop club was closed so room on the --th floor was ok, otherwise staff said they put guests wanting a quiet room on the -th floor so try to book that ahead of time. Location was perfect if you want to visit Hollywood Boulevard sites (you can just walk out the door), Griffith Park, Laugh Factory, and the Hollywood sign are a short drive away.",happy
"This was the most amazing one nighter I have ever experienced! From the moment we got there we felt like Royalty. The staff was exceedingly friendly and so very helpful. Jose Rosales answered every question we had. We got there early and they stored our luggage for us while we walked to the Alamo. When we got back we were shown to our room which was simply put, HUGE. We were able to upgrade to a suite and was worth every penny. That evening we were able to host some friends for after dinner drinks. Thank you so much Hyatt, Jose and the rest of the staff for making us feel welcome and comfortable.",happy
"i stayed at this hotel in mid-August for work, our conference was in the hotel. i found the different floor motifs to be quite amusing! I was on the --th floor, and i do recommend if you are at all superstitious to let them know at check in that you prefer a different floor! my room was nice, and clean, but it was one of their smaller rooms with just one queen bed. It was nice and the bed was very comfortable, i had no problem sleeping. But if i was paying for the room myself, or if i was staying longer, i would have preferred a larger room, because although nice & cozy, it would be too cramped for a longer stay. all in all, a nice place very convenient location.",happy
"The room was smelly! Although we asked for a non-smoking room, I could smell the lingering, musty odor of cigarette smoke.
The hotel was very very very noisy!
The continental breakfast was a shame!
We will NOT be coming back to the Town House again.",not happy
"We travel for work and I'm constantly looking for new and intersting places to stay. The Inn at The Black Olive was perfect. I didn't feel like I was stuck in another hotel but rather staying somewhere fun and relaxing. The location was amazing and the beds are really comfortable. The restaurant upstairs was excellent. Everyone was really nice and helpful. i only had a few thoughts that weren't totally positive, but they in no way will keep me from staying there every time we're in Baltimore for work. The TV in the living room was on the smaller side. As I don't watch TV a lot that doesn't really matter to me. There was no dock or stereo hookup for an ipod. Would have been nice, but again, I wasn't there to just sit in the room for hours. They only carried glass bottles for water. I get why for sure but it would have been nice to have something more easy to carry outside the hotel. Maybe have water bottles in the room that they can charge for?",happy
"we paid well over the odds for this hotel but found it a greation location, only across the road from Macy's. Well worth a stay but keep looking as the price keeps going up and down.",happy
"Just back from five nights in the Belvedere and felt the need to write in support of the hotel. Location cannot be faulted, short walk to the subway, Times Square and the theatres on Broadway. Our room had a kingsize bed and was on the --th floor it faced the back of the hotel, it was extremely quiet and the view was good. The room was very spacious and much larger than I thought it would be having read some previous reviews. It was also in good decorative order. Yes the bathroom was quite small, but just how much time do you spend in a bathroom when there's so much to see and do in New York. Housekeeping was excellent.
The price represented excellent value for money and this comes from someone who never books anywhere without first checking up on tripadvisor.",happy
"I stayed here for a seminar and wasn't expecting much. After all, you are pretty much locked in to this location. I wouldn't recommend commuting o McCormick Place on a daily basis... 
Anyway the hotel was very clean, staff was attentive and always friendly (they even told us how to get free Internet). The room was clean and modern but the highlight of the entire stay was the shower! Holy cow this thing had pressure and was instantly hot! It was like our own private spa! 
Overall a great place to stay and the hotel was clean, close to the city activities and the only real option if you're in town for a convention.",happy
"I had stayed the Elysee's sister property the Casablanca in June and really liked it and decided to try the Elysee because of the location in midtown. This was going to a quick -- hour trip from LA to NYC so I e-mailed the hotel ahead of time and requested a room at the back of the hotel as I'm a very light sleeper, and with the trip being so short I was really hoping they would me able to accommodate me. I had booked a deluxe king room. While checking in I was told that I had been upgraded to a one bedroom suite at the back of the hotel. I felt like reaching across the counter and planting one on the nice young man! I was escorted up to my suite and absolutely giddy with delight as this never happens to me. The suite was spectacular! The living room was very large for NYC standards and had a plasma tv in the armoire. The bedroom was equally large and spacious and the bathroom was done in marble. I only wished my stay was to be longer than -- hours.
The complimentary breakfast can be delivered to your room for only $-. I called and requested this service in the morning and it was brought immediately up which consisted of a large pot of coffee, bagels, and fruit. I tipped the deliveryman and dug in! I couldn't believe what incredible service I was getting. 
The wine and cheese in the evening was generous and relaxing. The free wi-fi in the room was also very much appreciated.
What sets the Elysee apart is the staff. Each request or inquiry was met with a professional response. The hotel is boutique style so its very intimate and the staff addresses you on a first name basis, making it feel like home. 
I travel to NYC quite a bit for business and pleasure and I have tried them all, but this will be my new home away from home. The abundant complimentary breakfast, wine and cheese and free wi-fi make the Elysee such a great value. And no, its not cheap, but what is in NYC? If you add in the complimentary services and the fantastic staff the Elysee simply can't be beat. And thanks again to everyone who made my stay so effortless. Only wish I could have stayed in the suite for a week!",happy
"This Residence Marriott is not fancy. It was clean, good service and suite style rooms; however, it's a little older than some Residence Marriotts's I've stayed at and probably could use an update soon. There was nothing wrong with the hotel, it was a """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""good value"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" in the area, but if you're looking for something a bit upscale there are other hotels that will suit better. For the money, it was fine.
There was a bit of noise at night from loud music and garbage trucks that kept me awake. A free breakfast in the lobby was standard free hotel breakfast grade - nothing special but overall ok. Although the location isn't prime on the Riverwalk, it's a - minute walk to all the sights downtown and easy to walk everywhere.",not happy
"My wife and I stayed at the Lucerne with our two boys (-- and --) for three nights last week (April ----). The room (two double beds) was small, but not an issue for us as we were not in the room except to sleep. The lower cost is worth the trade-off in space. The hotel was clean and the staff was friendly. The neighborhood is great fun. We enjoyed being in an area where people live. Places to eat (especially breakfast), Central Park, and the museums were within easy walking distance. The subway stop was on the same block as the hotel, and on a line convenient to many of the sites you would want to see. We went to Times Square one night and were glad to have a quiet area to return to. Overall, the Lucerne is a great place to stay and see the city.",happy
"I stayed in this hotel for - nights, and have no reason for any complaints at all. The service provided was excellent and the hotel was well located to shops, restaurants, Chinatown etc.
I most definitely will recommend this hotel when friends of mine go to San Francisco",happy
The hotel is the closest to the LA convention center. The room are extremely small and the walls are paper thin...all we did was listen to crying kids all night in the room next door! The room was clean and well stocked. Nice decor,not happy
"My stay at the W City Center was a Dr. Jekyll- Mr. Hyde type ordeal. For every task that they did well, there was an equal and opposite task that flopped. 
As a former frequent traveler I have stayed in many different hotels ranging from - stars to - stars. And, lately, I have been having good, solid experiences booking - star hotels for my leisure trips through priceline, but my stay at the W City Center in Chicago ended that string of luck.I had read many other reviews on this website before my trip and I felt like I had enough information to know what to expect, but I was wrong.
I rated my experience at the W a """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""-,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" but it was closer to a """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""-.--"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" and just like in math class, I rounded down. I am not sure what the exact criteria is for star ratings, but for service, the W City Centre is a solid """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""-.-,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" but that's as good as it gets.
My flight landed at Midway at about -:-- am, so I took the Orange line and arrived at the hotel at around --:-- am. I was expecting to check my luggage, but to my surprise I was able to check-in. And, according to them, they upgraded my bed from full to queen and gave me a courtyard view on the --th floor, so that noise from the """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""L"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" wouldn't bother me. What a joke!!! 
My bed wasn't even a full, it was more like a double... maybe even a twin-and-a-half. My wife and I, who sleep in a King at home, were practically on top of each other. And the courtyard view, looked more like the view from a project in Brooklyn. And, I understand that the interior rooms in the hotel have no choice but to have a view like that, but please don't tell me it's an upgrade, when it really isn't. I would have rather heard the train and had a view of the outside world, than to feel like I was in prison.
The room was tiny! After I learned was staying at the W, I looked it up and saw that the rooms were small, but the website doesn't do the room justice. There was exactly enough room to turn around, but that was about it. there was a lounge chair in the corner that was unecessary in that size room and the desk where one could use a laptop was at the foot of the bed. When you pulled the chair out to take a seat, it hit the foot of the bed, so you had to squeeze into the space between the desk and the chair. At -'-"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", --- lbs, I'm not a huge man, but it was a feat for me to do that.
The television was in a cabinet to the left of the bed, so I had to turn my head at an awkward angle to view it. And, the question that kept running through my mind was, """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""If this is a - star hotel, where is the plasma TV?"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" I have stayed at many other - star hotels in Chicago that have had plasma for years and if I remember correctly the W Lakeshore has plasma TV's in it's rooms. 
I liked the fact that there was a safe in the room for my valuables, it made me feel much more comfortable about leaving certain things in the room. But, it was a too small for my laptop.
The bathroom was also very tiny, but it had a full-sized tub and a fantastic shower head. Also, the little Bliss sample products were great so I purchased full-sized versions. The toilet was extremely noisy, but I believe I figured out why. The flush was a little longer and stronger than a usual toilet, but I think it was so that all """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""debris"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" could be cleaned with one flush instead of possibly flushing more than once. I mean it's so loud, the flushing next door would wake my wife in the middle of the night.
The service at the door was great, but it came in spurts. At one point there might be three gentlemen opening the door, but at others there might not be any, only the person that hails cabs for you and if your hands are full and he's busy, then you're stuck! I didn't see a handicapped button you can push to open it automatically.
The location is decent. You're very close to the Orange and Brown line trains, two blocks from the Blue line and - or - blocks from the Red line. And, unless you're going out at midnight, like we did, there is usually a cab in the vicinity.
Overall, this is not a - star hotel. You either have great service or none at all and I didn't appreciate being misled to think I was receiving some sort of benefit. I decided not to patronize the restaurant (Shikago) or bar (Whiskey Blue) because there are many other places in Chicago I'd rather spend my money. Please do your research. The W City Center is a great -.--- star hotel. It's not even close to being - stars.",not happy
"My wife and I stayed at the Buckingham Hotel for - nights in mid-April ----. We booked via the hotels website, and got a rate of $--- (plus taxes) for the standard room. it was well-equipped (video player, CD, kitchnettett, safe). We stayed on the --th floor, and our room facing --th Street was a bit noisy, with the - AM garbage truck, ---- police sirens and what have you, so if you are sensitive, you might want to chose a room facing the back. Otherwise the hotel was flawless: the desk downstairs, amenities, cleaning, the bed, everything just perfect (and we are pretty fuzzy). Free wireless in the comfortable business center (but a charge of $-- if you want it in your room). Faboulus value for the location and standard. Highly recommended. And a nice breakfast deli just next doors.",happy
Stayed for a graduation and was looking for the best value in the Galleria area. I found it! I love how cozy the place feels; the lobby reminds me of an old country inn. The room was spacious and especially liked the seating area next to the bed. Had breakfast and must say that this place has the best waffles. The buffet had everything you need to start your day. Especially great is the complimentary business center where I was able to use the internet and print my boarding pass all at no charge. The staff was very friendly and helpful. I was pleased and would absolutely stay here again. Did not use the pool but it looked inviting and those using it seemed very happy.,happy
"Booked this hotel on a special deal, stay - nights and get - free. Also offered $-- credit towards breakfast each day, which was advertised as """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""free breakfast"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" as well as free unlimited mini bar in room, free wifi, etc. Most of that was great, hotel was very nice and clean as well as updated, the staff was extremely courteous and knowledgeable. Only issues we had were on the deal we booked as there seemed to be a catch to each of the offerings... perhaps their marketing was a little bit more generous than the actual offerings were in reality. - night free was great, except that they charge you for that night anyway upfront then credit back to you several days after you leave... not the best if you didn't plan on taking that money out of your wallet on a family trip (we booked - rooms, so the extra charge was $---). Breakfast credit sounded great except that a """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""hot"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" buffet was $-- for one person and if you ordered a la carte it was still going to add up to roughly $-- each. We had - total people, - adults, - kids and it was all we could do to keep the bill under $--- each morning for breakfast. If the breakfast was actually good I wouldn't have minded but it was lacking to say the least. Matter of fact the free items in the lobby were just as good and FREE! lol. I do not recommend eating here if you're staying, complete rip off. Mini bar in the room was a nice touch, everything but the alcohol was free. It's not """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""unlimited"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" as they advertise, they restock once for each day so use it wisely. Other than that, the rest was good. Rooms do offer limited privacy in the bathroom area though as the toilet glass door is mirrored but the shower door has no frosting or mirror to block spectators. Good if you're with your spouse, bad if you have kids in the room. :)
Overall I'd recommend it if you can get it for the rates we did as it's nice and in a good location on Wall and Water. And yes, read other reviews on the location... this hotel is really on Water St, not Wall if you're trying to drive to it.",happy
"A great location just off the Magnificent Mile on Illinois, almost at the dividing line between The Loop and the Magnificent Mile. My wife and I stayed here and could walk to the northernmost tip of The Mile and as far south Millennium Park. All staff including front desk, valet, breakfast staff and cleaning staff were outstanding. Our room was a king suite with seperate dining area, living room and bedroom. In wall safe was an appreciated item. I requested an inside room, not fronting Illinois, to reduce exposure to the fire trucks screaming out of the fire hall next door. Noise was not a problem. Rate was around the $--- a night mark, great value for this gem.",happy
"I don't doubt my experience is the exception, based on the reliable reviewers' posts, but it should be noted for those Tripadvisorists who live by reviews... that this isn't a perfect hotel.
First of all don't get all excited, thinking you're checking into a fancy Hyatt. It's a roadside property at the bottom end of the brand. The rooms are spacious and funky, which is always a welcome addition to the cookie cutters out there. For that I am deeply thankful. 
That said, it's still a cheap hotel. And in my case, a smelly one. Perhaps it was just this room, though I doubt it. The elevator area had a chokingly bad smell as well. The smell that permeated the entire studio suite was foul. Foul to the point of keeping me up most of the night. Foul to the point of burying my head in the (comfy) pillows to suffocate myself. Foul to the point of leaving my clothes with a stench of, I don't know, a combination of paint, cleaning fluid and old war bandage that needs to be changed. I opened the window to the -- degree winter, but even that didn't clear the air. Really really unfortunate. 
They did put my able self in a handicap room when I checked in after midnight, so maybe I just got the leftover room that nobody actually wanted. I don't know. 
Yes, it's inexpensive for the amenities and space you get, but if you can't sleep for the stench, than it still costs too much.",not happy
"I had an opportunity to stay at this hotel recently and was surprised at the nonchalant attitude of the young lady at the front desk ( ----- --- shift). Normally, Marriott hotel staff members are gracious and hospitable...my suggestion...one more review of the customer service manual as it could really make a difference. I had to prompt her to share information on the hotel... breakfast hours, workout center.
The accomodations were great... too bad the personnel (day shift) was not a reflection of standard Marriott quality...
Signed,
A customer that hopes personnel receives better training...",not happy
"An excellent hotel - for business or pleasure. The location is excellent - very close to Time Square. First about reaching here - you are much better of using the taxi or the group airport van to arrive here from JFK or Newark airports. Dont go for the 'avoid the traffic and use the train' !! Or else you could be in Penn Station in -- minutes (incl -- mins just to reach the station on the airports) but waiting for cabs over there for the next --. 
The hotel itself is great. But if you are planning to arrive early and put some luggage in the hold, remember that they charge you like $- per day or so - which is really pittance but not free (thankfully they waived it off for me). The hotel is bustling -- hrs and the happenning places are vely close by - so enjoy !!!",happy
"We recently stayed at this hotel. The hotel is close to Baltimore Harbor. Walking to this location is not an issue during the day. However after dark it does not feel safe! My husband and his friend were propositioned by a shady character after dark. 
The hotel lobby was """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""the Shining-esque."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" It was a bit spooky. The rooms were small but ok. The REAL issue was the bathroom. The bathroom didn't have a tub and esentially had the drain on the floor right next to the toilet. Weird! I have never seen this sort of setup. The whole floor was wet. 
Also even though the air condition was on the room it was steaming hot. The main lobby's air condition was not working at all. it was hot!!!! I believe the air condition was broken!
Best part: closeness to aquarium and harbor
Cons: BATHROOM, shady location",not happy
"I was pleasantly upgraded to a Lake view room, which is always nice.
The room was comfortable, but here's a disclaimer. Because of the funky W styling, there are a set of shutters in a window that seperates the bathroom from the sleeping area. If you're traveling with a companion, this would not allow for much privacy, but if you're traveling alone it enables you to see the view of the lake while you're literally standing in your shower. 
The lobby bar area is fun, but seemed to close rather early.",happy
"I regret staying here. This is our first night of four and unfortunately we cannot change hotels. First off, I'd called about parking and was told the rate was $--, I specifically asked if that were per day or for then entire stay and the hotel said the entire stay, you pay once (I called hotel directly). Not so. So right off the bat another fee adding to an overpriced room. Our room is a double suite and very small. The electrical outlets are jammed, the lights turn on and off consistently. The hotel staff said, that happens. Our TV would not work, and internet access? No luck there either. Icing on the cake as I write this at -:-- am listening to the same beat of loud middle eastern belly dancing music from the restaurant below our room. I am wide awake and online to see what time the restaurant will close and this madness will stop.",not happy
"We're traveling with a group on an escorted bus trip and the hotel was selected by the tour operator, so I can't comment on price or value for money. The room we had was on the top floor overlooking the parks, so we didn't have any problem with street noise. As others have commented, the rooms are a bit tired, but the huge king size bed was comfy and everything was clean. Our tour guide must have let the hotel know that it was my birthday and there was a lovey card and bowl of fruit in the room when we arrived. The hotel was pretty busy as it must be a popular stop for bus tours; the staff were pleasant, but obviously rushed. Prices in the on site restaurant looked okay. It was an easy walk for us to everything we were interested in - Willis Tower, start of Route --, Buckingham Fountain, but we dont mind walking.",not happy
"We were in Chicago for a wedding with friends. We booked the last part of our trip through ----hotels.com. We arrived at the Affinia in late morning of the --th of July, ----. We were shocked to learn our rooms had been cancelled by ----hotels.com. We had already prepaid for the rooms. Yikes! When the staff learned of our trouble they went above and beyond to help us find a solution to the problem.They even tried to find us a different hotel close to the area we wanted to be in. We ended up staying at the Affinia in one giant room with two king beds. The room was above our expectations. We did cut our vacation short because of the snafu but it had nothing to do with the treatment we received at the Affinia. 
The management of the Affinia should be proud of the staff we encountered during our stay at their place of business. We we would recommend this hotel and it's staff to anyone. 
Our Best to the Staff of the Affinia
SMKindall",happy
"The hotel is pleasant, but a little dated, and the bed was the most uncomfortable ever. It's time for a renovation, guys!",not happy
"My family recently stayed at the Sportsmen in Studio City. It has an amazing swimming pool, great food, very nice staff. The front desk was very nice and accomodating..even checked us in before our check-in time. Room was very nice, little out dated but reasonable priced. The bathroom was very small and the room had very thin walls. 
Overall, I enjoyed my stay (stayed for -- days). Would stay again.",happy
"The room was very clean and kept that way throughout my stay. Staff was incredibly friendly and responsive, and I felt like a VIP even though I had a special rate for a conference. I still got a paper, for instance, even though my rate was --% off. Normally deeply discounted fares or Priceliners are given a little less goodness. Free laundry for guests, also. And everyone was a concierge. . .if they didn't know how to get to the restaurant or attraction you wanted, they would find the person who knew momentarily.
Perfect, perfect, staff.
ONLY NEGATIVEs:
-. Rooms are a bit small for this price range, but very clean and nice, and the location of this hotel is amazing, but you pay for it.
-. One night, Sunday, I went to the pool (around -pm local time) and the skimmer-pump was turned off, so the water was stagnant and kinda cloudy. I don't know if it was just bad timing, but it was a big turnoff. Otherwise the facilities are very clean. If the pool is open til midnight (which is generous), keep the pump on, please.
Overall excellent experience, but with --% in taxes on top of your room rate, you can easily spend three hundred a night and I don't know if location and magical service is worth that.",happy
